shape of p1 (99, 2)
shape of p2 (99, 2)
         101370 function calls (98468 primitive calls) in 0.202 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
       22    0.000    0.000    0.003    0.000 _compiler.py:571(_code)
      238    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      379    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
       39    0.000    0.000    0.002    0.000 typing.py:485(__getitem__)
      268    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
       39    0.000    0.000    0.002    0.000 typing.py:708(Literal)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1412(_determine_new_args)
   137/22    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
    45/12    0.000    0.000    0.002    0.000 typing.py:1441(_make_substitution)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
     5184    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      331    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
     1245    0.001    0.000    0.002    0.000 typing.py:1297(__setattr__)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      162    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       15    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      159    0.001    0.000    0.002    0.000 typing.py:247(_collect_parameters)
    11749    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
     1489    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
      541    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      296    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      280    0.000    0.000    0.001    0.000 typing.py:694(<genexpr>)
       28    0.001    0.000    0.001    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       11    0.001    0.000    0.001    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
     1519    0.001    0.000    0.001    0.000 typing.py:1245(_is_dunder)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       12    0.000    0.000    0.001    0.000 typing.py:1661(copy_with)
      156    0.000    0.000    0.001    0.000 typing.py:1258(__init__)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
     2244    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
  619/614    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x860f60}
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
       26    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
      345    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       54    0.000    0.000    0.001    0.000 typing.py:313(_remove_dups_flatten)
       27    0.000    0.000    0.001    0.000 typing.py:1804(__class_getitem__)
